Begin	End	Repetitions	Basic	Multiplex	Lookup	Optimised	Vector
point[0, 0, 0]	point[100, 0, 0]	10000000	14270843	16194146	15489350	14269843	17089837
point[0, 0, 0]	point[100, 0, 25]	10000000	14864072	16230257	15243241	14674027	17104051
point[0, 0, 0]	point[100, 0, 50]	10000000	14840706	16290589	15584965	14918831	17099532
point[0, 0, 0]	point[100, 0, 75]	10000000	14827250	16202247	15462346	14763709	17071225
point[0, 0, 0]	point[100, 0, 100]	10000000	15063205	16091071	15526472	14922625	17080237
point[0, 0, 0]	point[100, 25, 0]	10000000	14953068	16558865	15883774	14576640	17072061
point[0, 0, 0]	point[100, 25, 25]	10000000	15258334	16606532	15899940	15286439	17058432
point[0, 0, 0]	point[100, 25, 50]	10000000	14818089	16246622	15775679	15120995	17089817
point[0, 0, 0]	point[100, 25, 75]	10000000	14865347	16319337	15781218	15197428	17113808
point[0, 0, 0]	point[100, 25, 100]	10000000	15007766	16398409	15708829	15107336	17108202
point[0, 0, 0]	point[100, 50, 0]	10000000	15271377	16553754	15559018	15114395	17148996
point[0, 0, 0]	point[100, 50, 25]	10000000	14975878	16701566	16003824	15244874	17216650
point[0, 0, 0]	point[100, 50, 50]	10000000	15064261	16652416	16027007	15458289	17178640
point[0, 0, 0]	point[100, 50, 75]	10000000	14985497	16846376	16193546	15148588	17277104
point[0, 0, 0]	point[100, 50, 100]	10000000	15342384	16859144	16167258	15164265	17283633
point[0, 0, 0]	point[100, 75, 0]	10000000	15259499	16970543	16524144	15329938	17224548
point[0, 0, 0]	point[100, 75, 25]	10000000	15099030	16972911	16441810	15509077	17289594
point[0, 0, 0]	point[100, 75, 50]	10000000	15273328	16886832	16099066	15410137	17199191
point[0, 0, 0]	point[100, 75, 75]	10000000	15094763	17176851	16317041	15627877	17330074
point[0, 0, 0]	point[100, 75, 100]	10000000	15260820	17345763	16373744	15110354	17264961
point[0, 0, 0]	point[100, 100, 0]	10000000	15105184	17335693	16656865	15772416	17254361
point[0, 0, 0]	point[100, 100, 25]	10000000	15331007	17201733	16670567	16001463	17215640
point[0, 0, 0]	point[100, 100, 50]	10000000	15171226	17272430	16578690	15726031	17244677
point[0, 0, 0]	point[100, 100, 75]	10000000	15172715	17532594	16653107	15511548	17205964
point[0, 0, 0]	point[100, 100, 100]	10000000	15357373	17458148	16820470	15342181	17198067
point[0, 0, 0]	point[1000, 0, 0]	1000000	6744638	8480279	7600548	6939737	9167104
point[0, 0, 0]	point[1000, 0, 250]	1000000	7244578	8444767	7300500	6615044	9176421
point[0, 0, 0]	point[1000, 0, 500]	1000000	6863769	8380327	7810081	7056766	9184044
point[0, 0, 0]	point[1000, 0, 750]	1000000	6822819	8282255	7621174	6574301	9188116
point[0, 0, 0]	point[1000, 0, 1000]	1000000	7119003	8079806	7626744	7181118	9158706
point[0, 0, 0]	point[1000, 250, 0]	1000000	7505010	8506006	7804881	6623740	9179495
point[0, 0, 0]	point[1000, 250, 250]	1000000	7474577	8896234	8026912	7525712	9195006
point[0, 0, 0]	point[1000, 250, 500]	1000000	7070254	8484836	7842605	7211760	9197063
point[0, 0, 0]	point[1000, 250, 750]	1000000	6834833	8417676	7855557	7350640	9187181
point[0, 0, 0]	point[1000, 250, 1000]	1000000	7088496	8456476	8718247	7623437	9181375
point[0, 0, 0]	point[1000, 500, 0]	1000000	7625880	9198293	7811934	7308710	9213271
point[0, 0, 0]	point[1000, 500, 250]	1000000	7411534	9287426	7986721	7182699	9194548
point[0, 0, 0]	point[1000, 500, 500]	1000000	7191419	8887347	7939601	7284541	9185103
point[0, 0, 0]	point[1000, 500, 750]	1000000	7146474	9047575	7979775	7305856	9181465
point[0, 0, 0]	point[1000, 500, 1000]	1000000	7362825	9019543	8055291	7218626	9170637
